Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,11/08/2019 14:00,St. James' Park,Newcastle,Arsenal,0 - 1
2,17/08/2019 12:30,Emirates Stadium,Arsenal,Burnley,02-Jan
3,24/08/2019 17:30,Anfield,Liverpool,Arsenal,03-Jan
4,01/09/2019 16:30,Emirates Stadium,Arsenal,Spurs,02-Feb
5,15/09/2019 16:30,Vicarage Road,Watford,Arsenal,
6,22/09/2019 16:30,Emirates Stadium,Arsenal,Aston Villa,
7,30/09/2019 20:00,Old Trafford,Man Utd,Arsenal,
8,05/10/2019 16:30,Emirates Stadium,Arsenal,Bournemouth,
9,21/10/2019 20:00,Bramall Lane,Sheffield Utd,Arsenal,
10,27/10/2019 16:30,Emirates Stadium,Arsenal,Crystal Palace,
11,02/11/2019 15:00,Emirates Stadium,Arsenal,Wolves,
12,09/11/2019 15:00,King Power Stadium,Leicester,Arsenal,
13,23/11/2019 15:00,Emirates Stadium,Arsenal,Southampton,
14,30/11/2019 15:00,Carrow Road,Norwich,Arsenal,
15,03/12/2019 19:45,Emirates Stadium,Arsenal,Brighton,
16,07/12/2019 15:00,London Stadium,West Ham,Arsenal,
17,14/12/2019 15:00,Emirates Stadium,Arsenal,Man City,
18,21/12/2019 15:00,Goodison Park,Everton,Arsenal,
19,26/12/2019 15:00,Vitality Stadium,Bournemouth,Arsenal,
20,28/12/2019 15:00,Emirates Stadium,Arsenal,Chelsea,
21,01/01/2020 15:00,Emirates Stadium,Arsenal,Man Utd,
22,11/01/2020 15:00,Selhurst Park,Crystal Palace,Arsenal,
23,18/01/2020 15:00,Emirates Stadium,Arsenal,Sheffield Utd,
24,22/01/2020 19:45,Stamford Bridge,Chelsea,Arsenal,
25,01/02/2020 15:00,Turf Moor,Burnley,Arsenal,
26,08/02/2020 15:00,Emirates Stadium,Arsenal,Newcastle,
27,22/02/2020 15:00,Emirates Stadium,Arsenal,Everton,
28,29/02/2020 15:00,Etihad Stadium,Man City,Arsenal,
29,07/03/2020 15:00,Emirates Stadium,Arsenal,West Ham,
30,14/03/2020 15:00,Amex Stadium,Brighton,Arsenal,
31,21/03/2020 15:00,St. Mary's Stadium,Southampton,Arsenal,
32,04/04/2020 15:00,Emirates Stadium,Arsenal,Norwich,
33,11/04/2020 15:00,Molineux Stadium,Wolves,Arsenal,
34,18/04/2020 15:00,Emirates Stadium,Arsenal,Leicester,
35,25/04/2020 15:00,Tottenham Hotspur Stadium,Spurs,Arsenal,
36,02/05/2020 15:00,Emirates Stadium,Arsenal,Liverpool,
37,09/05/2020 15:00,Villa Park,Aston Villa,Arsenal,
38,17/05/2020 15:00,Emirates Stadium,Arsenal,Watford,
