Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Vitality Stadium,Bournemouth,Sheffield Utd,01-Jan
2,17/08/2019 15:00,Villa Park,Aston Villa,Bournemouth,01-Feb
3,25/08/2019 14:00,Vitality Stadium,Bournemouth,Man City,01-Mar
4,31/08/2019 15:00,King Power Stadium,Leicester,Bournemouth,03-Jan
5,15/09/2019 14:00,Vitality Stadium,Bournemouth,Everton,
6,20/09/2019 20:00,St. Mary's Stadium,Southampton,Bournemouth,
7,28/09/2019 15:00,Vitality Stadium,Bournemouth,West Ham,
8,05/10/2019 16:30,Emirates Stadium,Arsenal,Bournemouth,
9,19/10/2019 15:00,Vitality Stadium,Bournemouth,Norwich,
10,26/10/2019 15:00,Vicarage Road,Watford,Bournemouth,
11,02/11/2019 15:00,Vitality Stadium,Bournemouth,Man Utd,
12,09/11/2019 15:00,St. James' Park,Newcastle,Bournemouth,
13,23/11/2019 15:00,Vitality Stadium,Bournemouth,Wolves,
14,30/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth,
15,04/12/2019 20:00,Selhurst Park,Crystal Palace,Bournemouth,
16,07/12/2019 15:00,Vitality Stadium,Bournemouth,Liverpool,
17,14/12/2019 15:00,Stamford Bridge,Chelsea,Bournemouth,
18,21/12/2019 15:00,Vitality Stadium,Bournemouth,Burnley,
19,26/12/2019 15:00,Vitality Stadium,Bournemouth,Arsenal,
20,28/12/2019 15:00,Amex Stadium,Brighton,Bournemouth,
21,01/01/2020 15:00,London Stadium,West Ham,Bournemouth,
22,11/01/2020 15:00,Vitality Stadium,Bournemouth,Watford,
23,18/01/2020 15:00,Carrow Road,Norwich,Bournemouth,
24,21/01/2020 19:45,Vitality Stadium,Bournemouth,Brighton,
25,01/02/2020 15:00,Vitality Stadium,Bournemouth,Aston Villa,
26,08/02/2020 15:00,Bramall Lane,Sheffield Utd,Bournemouth,
27,22/02/2020 15:00,Turf Moor,Burnley,Bournemouth,
28,29/02/2020 15:00,Vitality Stadium,Bournemouth,Chelsea,
29,07/03/2020 15:00,Anfield,Liverpool,Bournemouth,
30,14/03/2020 15:00,Vitality Stadium,Bournemouth,Crystal Palace,
31,21/03/2020 15:00,Molineux Stadium,Wolves,Bournemouth,
32,04/04/2020 15:00,Vitality Stadium,Bournemouth,Newcastle,
33,11/04/2020 15:00,Old Trafford,Man Utd,Bournemouth,
34,18/04/2020 15:00,Vitality Stadium,Bournemouth,Spurs,
35,25/04/2020 15:00,Vitality Stadium,Bournemouth,Leicester,
36,02/05/2020 15:00,Etihad Stadium,Man City,Bournemouth,
37,09/05/2020 15:00,Vitality Stadium,Bournemouth,Southampton,
38,17/05/2020 15:00,Goodison Park,Everton,Bournemouth,
