Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Vicarage Road,Watford,Brighton,0 - 3
2,17/08/2019 15:00,Amex Stadium,Brighton,West Ham,01-Jan
3,24/08/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 2
4,31/08/2019 15:00,Etihad Stadium,Man City,Brighton,4 - 0
5,14/09/2019 15:00,Amex Stadium,Brighton,Burnley,
6,21/09/2019 17:30,St. James' Park,Newcastle,Brighton,
7,28/09/2019 15:00,Stamford Bridge,Chelsea,Brighton,
8,05/10/2019 12:30,Amex Stadium,Brighton,Spurs,
9,19/10/2019 15:00,Villa Park,Aston Villa,Brighton,
10,26/10/2019 15:00,Amex Stadium,Brighton,Everton,
11,02/11/2019 15:00,Amex Stadium,Brighton,Norwich,
12,09/11/2019 15:00,Old Trafford,Man Utd,Brighton,
13,23/11/2019 15:00,Amex Stadium,Brighton,Leicester,
14,30/11/2019 15:00,Anfield,Liverpool,Brighton,
15,03/12/2019 19:45,Emirates Stadium,Arsenal,Brighton,
16,07/12/2019 15:00,Amex Stadium,Brighton,Wolves,
17,14/12/2019 15:00,Selhurst Park,Crystal Palace,Brighton,
18,21/12/2019 15:00,Amex Stadium,Brighton,Sheffield Utd,
19,26/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Brighton,
20,28/12/2019 15:00,Amex Stadium,Brighton,Bournemouth,
21,01/01/2020 15:00,Amex Stadium,Brighton,Chelsea,
22,11/01/2020 15:00,Goodison Park,Everton,Brighton,
23,18/01/2020 15:00,Amex Stadium,Brighton,Aston Villa,
24,21/01/2020 19:45,Vitality Stadium,Bournemouth,Brighton,
25,01/02/2020 15:00,London Stadium,West Ham,Brighton,
26,08/02/2020 15:00,Amex Stadium,Brighton,Watford,
27,22/02/2020 15:00,Bramall Lane,Sheffield Utd,Brighton,
28,29/02/2020 15:00,Amex Stadium,Brighton,Crystal Palace,
29,07/03/2020 15:00,Molineux Stadium,Wolves,Brighton,
30,14/03/2020 15:00,Amex Stadium,Brighton,Arsenal,
31,21/03/2020 15:00,King Power Stadium,Leicester,Brighton,
32,04/04/2020 15:00,Amex Stadium,Brighton,Man Utd,
33,11/04/2020 15:00,Carrow Road,Norwich,Brighton,
34,18/04/2020 15:00,Amex Stadium,Brighton,Liverpool,
35,25/04/2020 15:00,Amex Stadium,Brighton,Man City,
36,02/05/2020 15:00,St. Mary's Stadium,Southampton,Brighton,
37,09/05/2020 15:00,Amex Stadium,Brighton,Newcastle,
38,17/05/2020 15:00,Turf Moor,Burnley,Brighton,
