Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Turf Moor,Burnley,Southampton,3 - 0
2,17/08/2019 12:30,Emirates Stadium,Arsenal,Burnley,02-Jan
3,25/08/2019 16:30,Molineux Stadium,Wolves,Burnley,01-Jan
4,31/08/2019 17:30,Turf Moor,Burnley,Liverpool,0 - 3
5,14/09/2019 15:00,Amex Stadium,Brighton,Burnley,
6,21/09/2019 15:00,Turf Moor,Burnley,Norwich,
7,28/09/2019 15:00,Villa Park,Aston Villa,Burnley,
8,05/10/2019 15:00,Turf Moor,Burnley,Everton,
9,19/10/2019 15:00,King Power Stadium,Leicester,Burnley,
10,26/10/2019 17:30,Turf Moor,Burnley,Chelsea,
11,02/11/2019 15:00,Bramall Lane,Sheffield Utd,Burnley,
12,09/11/2019 15:00,Turf Moor,Burnley,West Ham,
13,23/11/2019 15:00,Vicarage Road,Watford,Burnley,
14,30/11/2019 15:00,Turf Moor,Burnley,Crystal Palace,
15,03/12/2019 19:45,Turf Moor,Burnley,Man City,
16,07/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,
17,14/12/2019 15:00,Turf Moor,Burnley,Newcastle,
18,21/12/2019 15:00,Vitality Stadium,Bournemouth,Burnley,
19,26/12/2019 15:00,Goodison Park,Everton,Burnley,
20,28/12/2019 15:00,Turf Moor,Burnley,Man Utd,
21,01/01/2020 15:00,Turf Moor,Burnley,Aston Villa,
22,11/01/2020 15:00,Stamford Bridge,Chelsea,Burnley,
23,18/01/2020 15:00,Turf Moor,Burnley,Leicester,
24,21/01/2020 20:00,Old Trafford,Man Utd,Burnley,
25,01/02/2020 15:00,Turf Moor,Burnley,Arsenal,
26,08/02/2020 15:00,St. Mary's Stadium,Southampton,Burnley,
27,22/02/2020 15:00,Turf Moor,Burnley,Bournemouth,
28,29/02/2020 15:00,St. James' Park,Newcastle,Burnley,
29,07/03/2020 15:00,Turf Moor,Burnley,Spurs,
30,14/03/2020 15:00,Etihad Stadium,Man City,Burnley,
31,21/03/2020 15:00,Turf Moor,Burnley,Watford,
32,04/04/2020 15:00,Selhurst Park,Crystal Palace,Burnley,
33,11/04/2020 15:00,Turf Moor,Burnley,Sheffield Utd,
34,18/04/2020 15:00,London Stadium,West Ham,Burnley,
35,25/04/2020 15:00,Anfield,Liverpool,Burnley,
36,02/05/2020 15:00,Turf Moor,Burnley,Wolves,
37,09/05/2020 15:00,Carrow Road,Norwich,Burnley,
38,17/05/2020 15:00,Turf Moor,Burnley,Brighton,
