Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2019 16:30,Old Trafford,Man Utd,Chelsea,4 - 0
2,18/08/2019 16:30,Stamford Bridge,Chelsea,Leicester,01-Jan
3,24/08/2019 12:30,Carrow Road,Norwich,Chelsea,02-Mar
4,31/08/2019 15:00,Stamford Bridge,Chelsea,Sheffield Utd,02-Feb
5,14/09/2019 15:00,Molineux Stadium,Wolves,Chelsea,
6,22/09/2019 16:30,Stamford Bridge,Chelsea,Liverpool,
7,28/09/2019 15:00,Stamford Bridge,Chelsea,Brighton,
8,06/10/2019 14:00,St. Mary's Stadium,Southampton,Chelsea,
9,19/10/2019 15:00,Stamford Bridge,Chelsea,Newcastle,
10,26/10/2019 17:30,Turf Moor,Burnley,Chelsea,
11,02/11/2019 15:00,Vicarage Road,Watford,Chelsea,
12,09/11/2019 15:00,Stamford Bridge,Chelsea,Crystal Palace,
13,23/11/2019 15:00,Etihad Stadium,Man City,Chelsea,
14,30/11/2019 15:00,Stamford Bridge,Chelsea,West Ham,
15,04/12/2019 19:45,Stamford Bridge,Chelsea,Aston Villa,
16,07/12/2019 15:00,Goodison Park,Everton,Chelsea,
17,14/12/2019 15:00,Stamford Bridge,Chelsea,Bournemouth,
18,21/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Chelsea,
19,26/12/2019 15:00,Stamford Bridge,Chelsea,Southampton,
20,28/12/2019 15:00,Emirates Stadium,Arsenal,Chelsea,
21,01/01/2020 15:00,Amex Stadium,Brighton,Chelsea,
22,11/01/2020 15:00,Stamford Bridge,Chelsea,Burnley,
23,18/01/2020 15:00,St. James' Park,Newcastle,Chelsea,
24,22/01/2020 19:45,Stamford Bridge,Chelsea,Arsenal,
25,01/02/2020 15:00,King Power Stadium,Leicester,Chelsea,
26,08/02/2020 15:00,Stamford Bridge,Chelsea,Man Utd,
27,22/02/2020 15:00,Stamford Bridge,Chelsea,Spurs,
28,29/02/2020 15:00,Vitality Stadium,Bournemouth,Chelsea,
29,07/03/2020 15:00,Stamford Bridge,Chelsea,Everton,
30,14/03/2020 15:00,Villa Park,Aston Villa,Chelsea,
31,21/03/2020 15:00,Stamford Bridge,Chelsea,Man City,
32,04/04/2020 15:00,London Stadium,West Ham,Chelsea,
33,11/04/2020 15:00,Stamford Bridge,Chelsea,Watford,
34,18/04/2020 15:00,Selhurst Park,Crystal Palace,Chelsea,
35,25/04/2020 15:00,Bramall Lane,Sheffield Utd,Chelsea,
36,02/05/2020 15:00,Stamford Bridge,Chelsea,Norwich,
37,09/05/2020 15:00,Anfield,Liverpool,Chelsea,
38,17/05/2020 15:00,Stamford Bridge,Chelsea,Wolves,
