Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 0
2,18/08/2019 14:00,Bramall Lane,Sheffield Utd,Crystal Palace,1 - 0
3,24/08/2019 15:00,Old Trafford,Man Utd,Crystal Palace,01-Feb
4,31/08/2019 15:00,Selhurst Park,Crystal Palace,Aston Villa,1 - 0
5,14/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,
6,21/09/2019 15:00,Selhurst Park,Crystal Palace,Wolves,
7,28/09/2019 15:00,Selhurst Park,Crystal Palace,Norwich,
8,05/10/2019 17:30,London Stadium,West Ham,Crystal Palace,
9,20/10/2019 16:30,Selhurst Park,Crystal Palace,Man City,
10,27/10/2019 16:30,Emirates Stadium,Arsenal,Crystal Palace,
11,02/11/2019 15:00,Selhurst Park,Crystal Palace,Leicester,
12,09/11/2019 15:00,Stamford Bridge,Chelsea,Crystal Palace,
13,23/11/2019 15:00,Selhurst Park,Crystal Palace,Liverpool,
14,30/11/2019 15:00,Turf Moor,Burnley,Crystal Palace,
15,04/12/2019 20:00,Selhurst Park,Crystal Palace,Bournemouth,
16,07/12/2019 15:00,Vicarage Road,Watford,Crystal Palace,
17,14/12/2019 15:00,Selhurst Park,Crystal Palace,Brighton,
18,21/12/2019 15:00,St. James' Park,Newcastle,Crystal Palace,
19,26/12/2019 15:00,Selhurst Park,Crystal Palace,West Ham,
20,28/12/2019 15:00,St. Mary's Stadium,Southampton,Crystal Palace,
21,01/01/2020 15:00,Carrow Road,Norwich,Crystal Palace,
22,11/01/2020 15:00,Selhurst Park,Crystal Palace,Arsenal,
23,18/01/2020 15:00,Etihad Stadium,Man City,Crystal Palace,
24,22/01/2020 20:00,Selhurst Park,Crystal Palace,Southampton,
25,01/02/2020 15:00,Selhurst Park,Crystal Palace,Sheffield Utd,
26,08/02/2020 15:00,Goodison Park,Everton,Crystal Palace,
27,22/02/2020 15:00,Selhurst Park,Crystal Palace,Newcastle,
28,29/02/2020 15:00,Amex Stadium,Brighton,Crystal Palace,
29,07/03/2020 15:00,Selhurst Park,Crystal Palace,Watford,
30,14/03/2020 15:00,Vitality Stadium,Bournemouth,Crystal Palace,
31,21/03/2020 15:00,Anfield,Liverpool,Crystal Palace,
32,04/04/2020 15:00,Selhurst Park,Crystal Palace,Burnley,
33,11/04/2020 15:00,King Power Stadium,Leicester,Crystal Palace,
34,18/04/2020 15:00,Selhurst Park,Crystal Palace,Chelsea,
35,25/04/2020 15:00,Villa Park,Aston Villa,Crystal Palace,
36,02/05/2020 15:00,Selhurst Park,Crystal Palace,Man Utd,
37,09/05/2020 15:00,Molineux Stadium,Wolves,Crystal Palace,
38,17/05/2020 15:00,Selhurst Park,Crystal Palace,Spurs,
