Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 0
2,17/08/2019 15:00,Goodison Park,Everton,Watford,1 - 0
3,23/08/2019 20:00,Villa Park,Aston Villa,Everton,2 - 0
4,01/09/2019 14:00,Goodison Park,Everton,Wolves,03-Feb
5,15/09/2019 14:00,Vitality Stadium,Bournemouth,Everton,
6,21/09/2019 15:00,Goodison Park,Everton,Sheffield Utd,
7,29/09/2019 16:30,Goodison Park,Everton,Man City,
8,05/10/2019 15:00,Turf Moor,Burnley,Everton,
9,19/10/2019 12:30,Goodison Park,Everton,West Ham,
10,26/10/2019 15:00,Amex Stadium,Brighton,Everton,
11,02/11/2019 15:00,Goodison Park,Everton,Spurs,
12,09/11/2019 15:00,St. Mary's Stadium,Southampton,Everton,
13,23/11/2019 15:00,Goodison Park,Everton,Norwich,
14,30/11/2019 15:00,King Power Stadium,Leicester,Everton,
15,04/12/2019 20:00,Anfield,Liverpool,Everton,
16,07/12/2019 15:00,Goodison Park,Everton,Chelsea,
17,14/12/2019 15:00,Old Trafford,Man Utd,Everton,
18,21/12/2019 15:00,Goodison Park,Everton,Arsenal,
19,26/12/2019 15:00,Goodison Park,Everton,Burnley,
20,28/12/2019 15:00,St. James' Park,Newcastle,Everton,
21,01/01/2020 15:00,Etihad Stadium,Man City,Everton,
22,11/01/2020 15:00,Goodison Park,Everton,Brighton,
23,18/01/2020 15:00,London Stadium,West Ham,Everton,
24,21/01/2020 19:45,Goodison Park,Everton,Newcastle,
25,01/02/2020 15:00,Vicarage Road,Watford,Everton,
26,08/02/2020 15:00,Goodison Park,Everton,Crystal Palace,
27,22/02/2020 15:00,Emirates Stadium,Arsenal,Everton,
28,29/02/2020 15:00,Goodison Park,Everton,Man Utd,
29,07/03/2020 15:00,Stamford Bridge,Chelsea,Everton,
30,14/03/2020 15:00,Goodison Park,Everton,Liverpool,
31,21/03/2020 15:00,Carrow Road,Norwich,Everton,
32,04/04/2020 15:00,Goodison Park,Everton,Leicester,
33,11/04/2020 15:00,Tottenham Hotspur Stadium,Spurs,Everton,
34,18/04/2020 15:00,Goodison Park,Everton,Southampton,
35,25/04/2020 15:00,Molineux Stadium,Wolves,Everton,
36,02/05/2020 15:00,Goodison Park,Everton,Aston Villa,
37,09/05/2020 15:00,Bramall Lane,Sheffield Utd,Everton,
38,17/05/2020 15:00,Goodison Park,Everton,Bournemouth,
