Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2019 14:00,King Power Stadium,Leicester,Wolves,0 - 0
2,18/08/2019 16:30,Stamford Bridge,Chelsea,Leicester,01-Jan
3,24/08/2019 15:00,Bramall Lane,Sheffield Utd,Leicester,01-Feb
4,31/08/2019 15:00,King Power Stadium,Leicester,Bournemouth,03-Jan
5,14/09/2019 15:00,Old Trafford,Man Utd,Leicester,
6,21/09/2019 12:30,King Power Stadium,Leicester,Spurs,
7,28/09/2019 17:30,King Power Stadium,Leicester,Newcastle,
8,05/10/2019 15:00,Anfield,Liverpool,Leicester,
9,19/10/2019 15:00,King Power Stadium,Leicester,Burnley,
10,25/10/2019 20:00,St. Mary's Stadium,Southampton,Leicester,
11,02/11/2019 15:00,Selhurst Park,Crystal Palace,Leicester,
12,09/11/2019 15:00,King Power Stadium,Leicester,Arsenal,
13,23/11/2019 15:00,Amex Stadium,Brighton,Leicester,
14,30/11/2019 15:00,King Power Stadium,Leicester,Everton,
15,03/12/2019 19:45,King Power Stadium,Leicester,Watford,
16,07/12/2019 15:00,Villa Park,Aston Villa,Leicester,
17,14/12/2019 15:00,King Power Stadium,Leicester,Norwich,
18,21/12/2019 15:00,Etihad Stadium,Man City,Leicester,
19,26/12/2019 15:00,King Power Stadium,Leicester,Liverpool,
20,28/12/2019 15:00,London Stadium,West Ham,Leicester,
21,01/01/2020 15:00,St. James' Park,Newcastle,Leicester,
22,11/01/2020 15:00,King Power Stadium,Leicester,Southampton,
23,18/01/2020 15:00,Turf Moor,Burnley,Leicester,
24,21/01/2020 19:45,King Power Stadium,Leicester,West Ham,
25,01/02/2020 15:00,King Power Stadium,Leicester,Chelsea,
26,08/02/2020 15:00,Molineux Stadium,Wolves,Leicester,
27,22/02/2020 15:00,King Power Stadium,Leicester,Man City,
28,29/02/2020 15:00,Carrow Road,Norwich,Leicester,
29,07/03/2020 15:00,King Power Stadium,Leicester,Aston Villa,
30,14/03/2020 15:00,Vicarage Road,Watford,Leicester,
31,21/03/2020 15:00,King Power Stadium,Leicester,Brighton,
32,04/04/2020 15:00,Goodison Park,Everton,Leicester,
33,11/04/2020 15:00,King Power Stadium,Leicester,Crystal Palace,
34,18/04/2020 15:00,Emirates Stadium,Arsenal,Leicester,
35,25/04/2020 15:00,Vitality Stadium,Bournemouth,Leicester,
36,02/05/2020 15:00,King Power Stadium,Leicester,Sheffield Utd,
37,09/05/2020 15:00,Tottenham Hotspur Stadium,Spurs,Leicester,
38,17/05/2020 15:00,King Power Stadium,Leicester,Man Utd,
