Round Number,Date,Location,Home Team,Away Team,Result
1,09/08/2019 20:00,Anfield,Liverpool,Norwich,04-Jan
2,17/08/2019 15:00,St. Mary's Stadium,Southampton,Liverpool,01-Feb
3,24/08/2019 17:30,Anfield,Liverpool,Arsenal,03-Jan
4,31/08/2019 17:30,Turf Moor,Burnley,Liverpool,0 - 3
5,14/09/2019 12:30,Anfield,Liverpool,Newcastle,
6,22/09/2019 16:30,Stamford Bridge,Chelsea,Liverpool,
7,28/09/2019 12:30,Bramall Lane,Sheffield Utd,Liverpool,
8,05/10/2019 15:00,Anfield,Liverpool,Leicester,
9,19/10/2019 17:30,Old Trafford,Man Utd,Liverpool,
10,27/10/2019 16:30,Anfield,Liverpool,Spurs,
11,02/11/2019 15:00,Villa Park,Aston Villa,Liverpool,
12,09/11/2019 15:00,Anfield,Liverpool,Man City,
13,23/11/2019 15:00,Selhurst Park,Crystal Palace,Liverpool,
14,30/11/2019 15:00,Anfield,Liverpool,Brighton,
15,04/12/2019 20:00,Anfield,Liverpool,Everton,
16,07/12/2019 15:00,Vitality Stadium,Bournemouth,Liverpool,
17,14/12/2019 15:00,Anfield,Liverpool,Watford,
18,21/12/2019 15:00,London Stadium,West Ham,Liverpool,
19,26/12/2019 15:00,King Power Stadium,Leicester,Liverpool,
20,28/12/2019 15:00,Anfield,Liverpool,Wolves,
21,01/01/2020 15:00,Anfield,Liverpool,Sheffield Utd,
22,11/01/2020 15:00,Tottenham Hotspur Stadium,Spurs,Liverpool,
23,18/01/2020 15:00,Anfield,Liverpool,Man Utd,
24,21/01/2020 19:45,Molineux Stadium,Wolves,Liverpool,
25,01/02/2020 15:00,Anfield,Liverpool,Southampton,
26,08/02/2020 15:00,Carrow Road,Norwich,Liverpool,
27,22/02/2020 15:00,Anfield,Liverpool,West Ham,
28,29/02/2020 15:00,Vicarage Road,Watford,Liverpool,
29,07/03/2020 15:00,Anfield,Liverpool,Bournemouth,
30,14/03/2020 15:00,Goodison Park,Everton,Liverpool,
31,21/03/2020 15:00,Anfield,Liverpool,Crystal Palace,
32,04/04/2020 15:00,Etihad Stadium,Man City,Liverpool,
33,11/04/2020 15:00,Anfield,Liverpool,Aston Villa,
34,18/04/2020 15:00,Amex Stadium,Brighton,Liverpool,
35,25/04/2020 15:00,Anfield,Liverpool,Burnley,
36,02/05/2020 15:00,Emirates Stadium,Arsenal,Liverpool,
37,09/05/2020 15:00,Anfield,Liverpool,Chelsea,
38,17/05/2020 15:00,St. James' Park,Newcastle,Liverpool,
