Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 12:30,London Stadium,West Ham,Man City,0 - 5
2,17/08/2019 17:30,Etihad Stadium,Man City,Spurs,02-Feb
3,25/08/2019 14:00,Vitality Stadium,Bournemouth,Man City,01-Mar
4,31/08/2019 15:00,Etihad Stadium,Man City,Brighton,4 - 0
5,14/09/2019 17:30,Carrow Road,Norwich,Man City,
6,21/09/2019 15:00,Etihad Stadium,Man City,Watford,
7,29/09/2019 16:30,Goodison Park,Everton,Man City,
8,05/10/2019 15:00,Etihad Stadium,Man City,Wolves,
9,20/10/2019 16:30,Selhurst Park,Crystal Palace,Man City,
10,26/10/2019 12:30,Etihad Stadium,Man City,Aston Villa,
11,02/11/2019 15:00,Etihad Stadium,Man City,Southampton,
12,09/11/2019 15:00,Anfield,Liverpool,Man City,
13,23/11/2019 15:00,Etihad Stadium,Man City,Chelsea,
14,30/11/2019 15:00,St. James' Park,Newcastle,Man City,
15,03/12/2019 19:45,Turf Moor,Burnley,Man City,
16,07/12/2019 15:00,Etihad Stadium,Man City,Man Utd,
17,14/12/2019 15:00,Emirates Stadium,Arsenal,Man City,
18,21/12/2019 15:00,Etihad Stadium,Man City,Leicester,
19,26/12/2019 15:00,Molineux Stadium,Wolves,Man City,
20,28/12/2019 15:00,Etihad Stadium,Man City,Sheffield Utd,
21,01/01/2020 15:00,Etihad Stadium,Man City,Everton,
22,11/01/2020 15:00,Villa Park,Aston Villa,Man City,
23,18/01/2020 15:00,Etihad Stadium,Man City,Crystal Palace,
24,21/01/2020 19:45,Bramall Lane,Sheffield Utd,Man City,
25,01/02/2020 15:00,Tottenham Hotspur Stadium,Spurs,Man City,
26,08/02/2020 15:00,Etihad Stadium,Man City,West Ham,
27,22/02/2020 15:00,King Power Stadium,Leicester,Man City,
28,29/02/2020 15:00,Etihad Stadium,Man City,Arsenal,
29,07/03/2020 15:00,Old Trafford,Man Utd,Man City,
30,14/03/2020 15:00,Etihad Stadium,Man City,Burnley,
31,21/03/2020 15:00,Stamford Bridge,Chelsea,Man City,
32,04/04/2020 15:00,Etihad Stadium,Man City,Liverpool,
33,11/04/2020 15:00,St. Mary's Stadium,Southampton,Man City,
34,18/04/2020 15:00,Etihad Stadium,Man City,Newcastle,
35,25/04/2020 15:00,Amex Stadium,Brighton,Man City,
36,02/05/2020 15:00,Etihad Stadium,Man City,Bournemouth,
37,09/05/2020 15:00,Vicarage Road,Watford,Man City,
38,17/05/2020 15:00,Etihad Stadium,Man City,Norwich,
