Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,11/08/2019 16:30,Old Trafford,Man Utd,Chelsea,4 - 0
2,19/08/2019 20:00,Molineux Stadium,Wolves,Man Utd,01-Jan
3,24/08/2019 15:00,Old Trafford,Man Utd,Crystal Palace,01-Feb
4,31/08/2019 12:30,St. Mary's Stadium,Southampton,Man Utd,01-Jan
5,14/09/2019 15:00,Old Trafford,Man Utd,Leicester,
6,22/09/2019 14:00,London Stadium,West Ham,Man Utd,
7,30/09/2019 20:00,Old Trafford,Man Utd,Arsenal,
8,06/10/2019 16:30,St. James' Park,Newcastle,Man Utd,
9,19/10/2019 17:30,Old Trafford,Man Utd,Liverpool,
10,27/10/2019 16:30,Carrow Road,Norwich,Man Utd,
11,02/11/2019 15:00,Vitality Stadium,Bournemouth,Man Utd,
12,09/11/2019 15:00,Old Trafford,Man Utd,Brighton,
13,23/11/2019 15:00,Bramall Lane,Sheffield Utd,Man Utd,
14,30/11/2019 15:00,Old Trafford,Man Utd,Aston Villa,
15,03/12/2019 20:00,Old Trafford,Man Utd,Spurs,
16,07/12/2019 15:00,Etihad Stadium,Man City,Man Utd,
17,14/12/2019 15:00,Old Trafford,Man Utd,Everton,
18,21/12/2019 15:00,Vicarage Road,Watford,Man Utd,
19,26/12/2019 15:00,Old Trafford,Man Utd,Newcastle,
20,28/12/2019 15:00,Turf Moor,Burnley,Man Utd,
21,01/01/2020 15:00,Emirates Stadium,Arsenal,Man Utd,
22,11/01/2020 15:00,Old Trafford,Man Utd,Norwich,
23,18/01/2020 15:00,Anfield,Liverpool,Man Utd,
24,21/01/2020 20:00,Old Trafford,Man Utd,Burnley,
25,01/02/2020 15:00,Old Trafford,Man Utd,Wolves,
26,08/02/2020 15:00,Stamford Bridge,Chelsea,Man Utd,
27,22/02/2020 15:00,Old Trafford,Man Utd,Watford,
28,29/02/2020 15:00,Goodison Park,Everton,Man Utd,
29,07/03/2020 15:00,Old Trafford,Man Utd,Man City,
30,14/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,Man Utd,
31,21/03/2020 15:00,Old Trafford,Man Utd,Sheffield Utd,
32,04/04/2020 15:00,Amex Stadium,Brighton,Man Utd,
33,11/04/2020 15:00,Old Trafford,Man Utd,Bournemouth,
34,18/04/2020 15:00,Villa Park,Aston Villa,Man Utd,
35,25/04/2020 15:00,Old Trafford,Man Utd,Southampton,
36,02/05/2020 15:00,Selhurst Park,Crystal Palace,Man Utd,
37,09/05/2020 15:00,Old Trafford,Man Utd,West Ham,
38,17/05/2020 15:00,King Power Stadium,Leicester,Man Utd,
