Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2019 14:00,St. James' Park,Newcastle,Arsenal,0 - 1
2,17/08/2019 15:00,Carrow Road,Norwich,Newcastle,03-Jan
3,25/08/2019 16:30,Tottenham Hotspur Stadium,Spurs,Newcastle,0 - 1
4,31/08/2019 15:00,St. James' Park,Newcastle,Watford,01-Jan
5,14/09/2019 12:30,Anfield,Liverpool,Newcastle,
6,21/09/2019 17:30,St. James' Park,Newcastle,Brighton,
7,28/09/2019 17:30,King Power Stadium,Leicester,Newcastle,
8,06/10/2019 16:30,St. James' Park,Newcastle,Man Utd,
9,19/10/2019 15:00,Stamford Bridge,Chelsea,Newcastle,
10,27/10/2019 14:00,St. James' Park,Newcastle,Wolves,
11,02/11/2019 15:00,London Stadium,West Ham,Newcastle,
12,09/11/2019 15:00,St. James' Park,Newcastle,Bournemouth,
13,23/11/2019 15:00,Villa Park,Aston Villa,Newcastle,
14,30/11/2019 15:00,St. James' Park,Newcastle,Man City,
15,03/12/2019 19:45,Bramall Lane,Sheffield Utd,Newcastle,
16,07/12/2019 15:00,St. James' Park,Newcastle,Southampton,
17,14/12/2019 15:00,Turf Moor,Burnley,Newcastle,
18,21/12/2019 15:00,St. James' Park,Newcastle,Crystal Palace,
19,26/12/2019 15:00,Old Trafford,Man Utd,Newcastle,
20,28/12/2019 15:00,St. James' Park,Newcastle,Everton,
21,01/01/2020 15:00,St. James' Park,Newcastle,Leicester,
22,11/01/2020 15:00,Molineux Stadium,Wolves,Newcastle,
23,18/01/2020 15:00,St. James' Park,Newcastle,Chelsea,
24,21/01/2020 19:45,Goodison Park,Everton,Newcastle,
25,01/02/2020 15:00,St. James' Park,Newcastle,Norwich,
26,08/02/2020 15:00,Emirates Stadium,Arsenal,Newcastle,
27,22/02/2020 15:00,Selhurst Park,Crystal Palace,Newcastle,
28,29/02/2020 15:00,St. James' Park,Newcastle,Burnley,
29,07/03/2020 15:00,St. Mary's Stadium,Southampton,Newcastle,
30,14/03/2020 15:00,St. James' Park,Newcastle,Sheffield Utd,
31,21/03/2020 15:00,St. James' Park,Newcastle,Aston Villa,
32,04/04/2020 15:00,Vitality Stadium,Bournemouth,Newcastle,
33,11/04/2020 15:00,St. James' Park,Newcastle,West Ham,
34,18/04/2020 15:00,Etihad Stadium,Man City,Newcastle,
35,25/04/2020 15:00,Vicarage Road,Watford,Newcastle,
36,02/05/2020 15:00,St. James' Park,Newcastle,Spurs,
37,09/05/2020 15:00,Amex Stadium,Brighton,Newcastle,
38,17/05/2020 15:00,St. James' Park,Newcastle,Liverpool,
