Round Number,Date,Location,Home Team,Away Team,Result
1,09/08/2019 20:00,Anfield,Liverpool,Norwich,04-Jan
2,17/08/2019 15:00,Carrow Road,Norwich,Newcastle,03-Jan
3,24/08/2019 12:30,Carrow Road,Norwich,Chelsea,02-Mar
4,31/08/2019 15:00,London Stadium,West Ham,Norwich,2 - 0
5,14/09/2019 17:30,Carrow Road,Norwich,Man City,
6,21/09/2019 15:00,Turf Moor,Burnley,Norwich,
7,28/09/2019 15:00,Selhurst Park,Crystal Palace,Norwich,
8,05/10/2019 15:00,Carrow Road,Norwich,Aston Villa,
9,19/10/2019 15:00,Vitality Stadium,Bournemouth,Norwich,
10,27/10/2019 16:30,Carrow Road,Norwich,Man Utd,
11,02/11/2019 15:00,Amex Stadium,Brighton,Norwich,
12,09/11/2019 15:00,Carrow Road,Norwich,Watford,
13,23/11/2019 15:00,Goodison Park,Everton,Norwich,
14,30/11/2019 15:00,Carrow Road,Norwich,Arsenal,
15,04/12/2019 19:45,St. Mary's Stadium,Southampton,Norwich,
16,07/12/2019 15:00,Carrow Road,Norwich,Sheffield Utd,
17,14/12/2019 15:00,King Power Stadium,Leicester,Norwich,
18,21/12/2019 15:00,Carrow Road,Norwich,Wolves,
19,26/12/2019 15:00,Villa Park,Aston Villa,Norwich,
20,28/12/2019 15:00,Carrow Road,Norwich,Spurs,
21,01/01/2020 15:00,Carrow Road,Norwich,Crystal Palace,
22,11/01/2020 15:00,Old Trafford,Man Utd,Norwich,
23,18/01/2020 15:00,Carrow Road,Norwich,Bournemouth,
24,22/01/2020 19:45,Tottenham Hotspur Stadium,Spurs,Norwich,
25,01/02/2020 15:00,St. James' Park,Newcastle,Norwich,
26,08/02/2020 15:00,Carrow Road,Norwich,Liverpool,
27,22/02/2020 15:00,Molineux Stadium,Wolves,Norwich,
28,29/02/2020 15:00,Carrow Road,Norwich,Leicester,
29,07/03/2020 15:00,Bramall Lane,Sheffield Utd,Norwich,
30,14/03/2020 15:00,Carrow Road,Norwich,Southampton,
31,21/03/2020 15:00,Carrow Road,Norwich,Everton,
32,04/04/2020 15:00,Emirates Stadium,Arsenal,Norwich,
33,11/04/2020 15:00,Carrow Road,Norwich,Brighton,
34,18/04/2020 15:00,Vicarage Road,Watford,Norwich,
35,25/04/2020 15:00,Carrow Road,Norwich,West Ham,
36,02/05/2020 15:00,Stamford Bridge,Chelsea,Norwich,
37,09/05/2020 15:00,Carrow Road,Norwich,Burnley,
38,17/05/2020 15:00,Etihad Stadium,Man City,Norwich,
