Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Vitality Stadium,Bournemouth,Sheffield Utd,01-Jan
2,18/08/2019 14:00,Bramall Lane,Sheffield Utd,Crystal Palace,1 - 0
3,24/08/2019 15:00,Bramall Lane,Sheffield Utd,Leicester,01-Feb
4,31/08/2019 15:00,Stamford Bridge,Chelsea,Sheffield Utd,02-Feb
5,14/09/2019 15:00,Bramall Lane,Sheffield Utd,Southampton,
6,21/09/2019 15:00,Goodison Park,Everton,Sheffield Utd,
7,28/09/2019 12:30,Bramall Lane,Sheffield Utd,Liverpool,
8,05/10/2019 15:00,Vicarage Road,Watford,Sheffield Utd,
9,21/10/2019 20:00,Bramall Lane,Sheffield Utd,Arsenal,
10,26/10/2019 15:00,London Stadium,West Ham,Sheffield Utd,
11,02/11/2019 15:00,Bramall Lane,Sheffield Utd,Burnley,
12,09/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Sheffield Utd,
13,23/11/2019 15:00,Bramall Lane,Sheffield Utd,Man Utd,
14,30/11/2019 15:00,Molineux Stadium,Wolves,Sheffield Utd,
15,03/12/2019 19:45,Bramall Lane,Sheffield Utd,Newcastle,
16,07/12/2019 15:00,Carrow Road,Norwich,Sheffield Utd,
17,14/12/2019 15:00,Bramall Lane,Sheffield Utd,Aston Villa,
18,21/12/2019 15:00,Amex Stadium,Brighton,Sheffield Utd,
19,26/12/2019 15:00,Bramall Lane,Sheffield Utd,Watford,
20,28/12/2019 15:00,Etihad Stadium,Man City,Sheffield Utd,
21,01/01/2020 15:00,Anfield,Liverpool,Sheffield Utd,
22,11/01/2020 15:00,Bramall Lane,Sheffield Utd,West Ham,
23,18/01/2020 15:00,Emirates Stadium,Arsenal,Sheffield Utd,
24,21/01/2020 19:45,Bramall Lane,Sheffield Utd,Man City,
25,01/02/2020 15:00,Selhurst Park,Crystal Palace,Sheffield Utd,
26,08/02/2020 15:00,Bramall Lane,Sheffield Utd,Bournemouth,
27,22/02/2020 15:00,Bramall Lane,Sheffield Utd,Brighton,
28,29/02/2020 15:00,Villa Park,Aston Villa,Sheffield Utd,
29,07/03/2020 15:00,Bramall Lane,Sheffield Utd,Norwich,
30,14/03/2020 15:00,St. James' Park,Newcastle,Sheffield Utd,
31,21/03/2020 15:00,Old Trafford,Man Utd,Sheffield Utd,
32,04/04/2020 15:00,Bramall Lane,Sheffield Utd,Spurs,
33,11/04/2020 15:00,Turf Moor,Burnley,Sheffield Utd,
34,18/04/2020 15:00,Bramall Lane,Sheffield Utd,Wolves,
35,25/04/2020 15:00,Bramall Lane,Sheffield Utd,Chelsea,
36,02/05/2020 15:00,King Power Stadium,Leicester,Sheffield Utd,
37,09/05/2020 15:00,Bramall Lane,Sheffield Utd,Everton,
38,17/05/2020 15:00,St. Mary's Stadium,Southampton,Sheffield Utd,
