Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 15:00,Turf Moor,Burnley,Southampton,3 - 0
2,17/08/2019 15:00,St. Mary's Stadium,Southampton,Liverpool,01-Feb
3,24/08/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 2
4,31/08/2019 12:30,St. Mary's Stadium,Southampton,Man Utd,01-Jan
5,14/09/2019 15:00,Bramall Lane,Sheffield Utd,Southampton,
6,20/09/2019 20:00,St. Mary's Stadium,Southampton,Bournemouth,
7,28/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Southampton,
8,06/10/2019 14:00,St. Mary's Stadium,Southampton,Chelsea,
9,19/10/2019 15:00,Molineux Stadium,Wolves,Southampton,
10,25/10/2019 20:00,St. Mary's Stadium,Southampton,Leicester,
11,02/11/2019 15:00,Etihad Stadium,Man City,Southampton,
12,09/11/2019 15:00,St. Mary's Stadium,Southampton,Everton,
13,23/11/2019 15:00,Emirates Stadium,Arsenal,Southampton,
14,30/11/2019 15:00,St. Mary's Stadium,Southampton,Watford,
15,04/12/2019 19:45,St. Mary's Stadium,Southampton,Norwich,
16,07/12/2019 15:00,St. James' Park,Newcastle,Southampton,
17,14/12/2019 15:00,St. Mary's Stadium,Southampton,West Ham,
18,21/12/2019 15:00,Villa Park,Aston Villa,Southampton,
19,26/12/2019 15:00,Stamford Bridge,Chelsea,Southampton,
20,28/12/2019 15:00,St. Mary's Stadium,Southampton,Crystal Palace,
21,01/01/2020 15:00,St. Mary's Stadium,Southampton,Spurs,
22,11/01/2020 15:00,King Power Stadium,Leicester,Southampton,
23,18/01/2020 15:00,St. Mary's Stadium,Southampton,Wolves,
24,22/01/2020 20:00,Selhurst Park,Crystal Palace,Southampton,
25,01/02/2020 15:00,Anfield,Liverpool,Southampton,
26,08/02/2020 15:00,St. Mary's Stadium,Southampton,Burnley,
27,22/02/2020 15:00,St. Mary's Stadium,Southampton,Aston Villa,
28,29/02/2020 15:00,London Stadium,West Ham,Southampton,
29,07/03/2020 15:00,St. Mary's Stadium,Southampton,Newcastle,
30,14/03/2020 15:00,Carrow Road,Norwich,Southampton,
31,21/03/2020 15:00,St. Mary's Stadium,Southampton,Arsenal,
32,04/04/2020 15:00,Vicarage Road,Watford,Southampton,
33,11/04/2020 15:00,St. Mary's Stadium,Southampton,Man City,
34,18/04/2020 15:00,Goodison Park,Everton,Southampton,
35,25/04/2020 15:00,Old Trafford,Man Utd,Southampton,
36,02/05/2020 15:00,St. Mary's Stadium,Southampton,Brighton,
37,09/05/2020 15:00,Vitality Stadium,Bournemouth,Southampton,
38,17/05/2020 15:00,St. Mary's Stadium,Southampton,Sheffield Utd,
