Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,10/08/2019 17:30,Tottenham Hotspur Stadium,Spurs,Aston Villa,03-Jan
2,17/08/2019 17:30,Etihad Stadium,Man City,Spurs,02-Feb
3,25/08/2019 16:30,Tottenham Hotspur Stadium,Spurs,Newcastle,0 - 1
4,01/09/2019 16:30,Emirates Stadium,Arsenal,Spurs,02-Feb
5,14/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,
6,21/09/2019 12:30,King Power Stadium,Leicester,Spurs,
7,28/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Southampton,
8,05/10/2019 12:30,Amex Stadium,Brighton,Spurs,
9,19/10/2019 15:00,Tottenham Hotspur Stadium,Spurs,Watford,
10,27/10/2019 16:30,Anfield,Liverpool,Spurs,
11,02/11/2019 15:00,Goodison Park,Everton,Spurs,
12,09/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Sheffield Utd,
13,23/11/2019 15:00,London Stadium,West Ham,Spurs,
14,30/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth,
15,03/12/2019 20:00,Old Trafford,Man Utd,Spurs,
16,07/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,
17,14/12/2019 15:00,Molineux Stadium,Wolves,Spurs,
18,21/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Chelsea,
19,26/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Brighton,
20,28/12/2019 15:00,Carrow Road,Norwich,Spurs,
21,01/01/2020 15:00,St. Mary's Stadium,Southampton,Spurs,
22,11/01/2020 15:00,Tottenham Hotspur Stadium,Spurs,Liverpool,
23,18/01/2020 15:00,Vicarage Road,Watford,Spurs,
24,22/01/2020 19:45,Tottenham Hotspur Stadium,Spurs,Norwich,
25,01/02/2020 15:00,Tottenham Hotspur Stadium,Spurs,Man City,
26,08/02/2020 15:00,Villa Park,Aston Villa,Spurs,
27,22/02/2020 15:00,Stamford Bridge,Chelsea,Spurs,
28,29/02/2020 15:00,Tottenham Hotspur Stadium,Spurs,Wolves,
29,07/03/2020 15:00,Turf Moor,Burnley,Spurs,
30,14/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,Man Utd,
31,21/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,West Ham,
32,04/04/2020 15:00,Bramall Lane,Sheffield Utd,Spurs,
33,11/04/2020 15:00,Tottenham Hotspur Stadium,Spurs,Everton,
34,18/04/2020 15:00,Vitality Stadium,Bournemouth,Spurs,
35,25/04/2020 15:00,Tottenham Hotspur Stadium,Spurs,Arsenal,
36,02/05/2020 15:00,St. James' Park,Newcastle,Spurs,
37,09/05/2020 15:00,Tottenham Hotspur Stadium,Spurs,Leicester,
38,17/05/2020 15:00,Selhurst Park,Crystal Palace,Spurs,
