Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,10/08/2019 15:00,Vicarage Road,Watford,Brighton,0 - 3
2,17/08/2019 15:00,Goodison Park,Everton,Watford,1 - 0
3,24/08/2019 15:00,Vicarage Road,Watford,West Ham,01-Mar
4,31/08/2019 15:00,St. James' Park,Newcastle,Watford,01-Jan
5,15/09/2019 16:30,Vicarage Road,Watford,Arsenal,
6,21/09/2019 15:00,Etihad Stadium,Man City,Watford,
7,28/09/2019 15:00,Molineux Stadium,Wolves,Watford,
8,05/10/2019 15:00,Vicarage Road,Watford,Sheffield Utd,
9,19/10/2019 15:00,Tottenham Hotspur Stadium,Spurs,Watford,
10,26/10/2019 15:00,Vicarage Road,Watford,Bournemouth,
11,02/11/2019 15:00,Vicarage Road,Watford,Chelsea,
12,09/11/2019 15:00,Carrow Road,Norwich,Watford,
13,23/11/2019 15:00,Vicarage Road,Watford,Burnley,
14,30/11/2019 15:00,St. Mary's Stadium,Southampton,Watford,
15,03/12/2019 19:45,King Power Stadium,Leicester,Watford,
16,07/12/2019 15:00,Vicarage Road,Watford,Crystal Palace,
17,14/12/2019 15:00,Anfield,Liverpool,Watford,
18,21/12/2019 15:00,Vicarage Road,Watford,Man Utd,
19,26/12/2019 15:00,Bramall Lane,Sheffield Utd,Watford,
20,28/12/2019 15:00,Vicarage Road,Watford,Aston Villa,
21,01/01/2020 15:00,Vicarage Road,Watford,Wolves,
22,11/01/2020 15:00,Vitality Stadium,Bournemouth,Watford,
23,18/01/2020 15:00,Vicarage Road,Watford,Spurs,
24,21/01/2020 19:45,Villa Park,Aston Villa,Watford,
25,01/02/2020 15:00,Vicarage Road,Watford,Everton,
26,08/02/2020 15:00,Amex Stadium,Brighton,Watford,
27,22/02/2020 15:00,Old Trafford,Man Utd,Watford,
28,29/02/2020 15:00,Vicarage Road,Watford,Liverpool,
29,07/03/2020 15:00,Selhurst Park,Crystal Palace,Watford,
30,14/03/2020 15:00,Vicarage Road,Watford,Leicester,
31,21/03/2020 15:00,Turf Moor,Burnley,Watford,
32,04/04/2020 15:00,Vicarage Road,Watford,Southampton,
33,11/04/2020 15:00,Stamford Bridge,Chelsea,Watford,
34,18/04/2020 15:00,Vicarage Road,Watford,Norwich,
35,25/04/2020 15:00,Vicarage Road,Watford,Newcastle,
36,02/05/2020 15:00,London Stadium,West Ham,Watford,
37,09/05/2020 15:00,Vicarage Road,Watford,Man City,
38,17/05/2020 15:00,Emirates Stadium,Arsenal,Watford,
