Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,10/08/2019 12:30,London Stadium,West Ham,Man City,0 - 5
2,17/08/2019 15:00,Amex Stadium,Brighton,West Ham,01-Jan
3,24/08/2019 15:00,Vicarage Road,Watford,West Ham,01-Mar
4,31/08/2019 15:00,London Stadium,West Ham,Norwich,2 - 0
5,16/09/2019 20:00,Villa Park,Aston Villa,West Ham,
6,22/09/2019 14:00,London Stadium,West Ham,Man Utd,
7,28/09/2019 15:00,Vitality Stadium,Bournemouth,West Ham,
8,05/10/2019 17:30,London Stadium,West Ham,Crystal Palace,
9,19/10/2019 12:30,Goodison Park,Everton,West Ham,
10,26/10/2019 15:00,London Stadium,West Ham,Sheffield Utd,
11,02/11/2019 15:00,London Stadium,West Ham,Newcastle,
12,09/11/2019 15:00,Turf Moor,Burnley,West Ham,
13,23/11/2019 15:00,London Stadium,West Ham,Spurs,
14,30/11/2019 15:00,Stamford Bridge,Chelsea,West Ham,
15,03/12/2019 19:45,Molineux Stadium,Wolves,West Ham,
16,07/12/2019 15:00,London Stadium,West Ham,Arsenal,
17,14/12/2019 15:00,St. Mary's Stadium,Southampton,West Ham,
18,21/12/2019 15:00,London Stadium,West Ham,Liverpool,
19,26/12/2019 15:00,Selhurst Park,Crystal Palace,West Ham,
20,28/12/2019 15:00,London Stadium,West Ham,Leicester,
21,01/01/2020 15:00,London Stadium,West Ham,Bournemouth,
22,11/01/2020 15:00,Bramall Lane,Sheffield Utd,West Ham,
23,18/01/2020 15:00,London Stadium,West Ham,Everton,
24,21/01/2020 19:45,King Power Stadium,Leicester,West Ham,
25,01/02/2020 15:00,London Stadium,West Ham,Brighton,
26,08/02/2020 15:00,Etihad Stadium,Man City,West Ham,
27,22/02/2020 15:00,Anfield,Liverpool,West Ham,
28,29/02/2020 15:00,London Stadium,West Ham,Southampton,
29,07/03/2020 15:00,Emirates Stadium,Arsenal,West Ham,
30,14/03/2020 15:00,London Stadium,West Ham,Wolves,
31,21/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,West Ham,
32,04/04/2020 15:00,London Stadium,West Ham,Chelsea,
33,11/04/2020 15:00,St. James' Park,Newcastle,West Ham,
34,18/04/2020 15:00,London Stadium,West Ham,Burnley,
35,25/04/2020 15:00,Carrow Road,Norwich,West Ham,
36,02/05/2020 15:00,London Stadium,West Ham,Watford,
37,09/05/2020 15:00,Old Trafford,Man Utd,West Ham,
38,17/05/2020 15:00,London Stadium,West Ham,Aston Villa,
